time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-10T08:42:07.246Z,-27.1087,-63.4433,579.27,5.4,mww,,31,5.081,0.88,us,us7000h8a8,2022-05-11T08:44:56.781Z,"22 km WSW of El Hoyo, Argentina",earthquake,10.5,4.8,0.048,41,reviewed,us,us
2022-05-10T07:45:52.971Z,-55.8283,-27.1888,28.46,4.8,mb,,87,5.565,0.49,us,us7000h8af,2022-05-10T09:17:59.040Z,"South Sandwich Islands region",earthquake,11.9,3.4,0.074,56,reviewed,us,us
2022-05-10T06:35:38.919Z,12.5692,-89.2197,44.36,4.7,mb,,157,1.169,0.76,us,us7000h89n,2022-05-10T06:50:27.040Z,"102 km S of La Libertad, El Salvador",earthquake,7.2,8.5,0.031,319,reviewed,us,us
2022-05-10T04:47:50.535Z,-30.3443,-177.1984,10,4.5,mb,,146,1.247,0.84,us,us6000hlst,2022-05-18T03:08:32.040Z,"Kermadec Islands, New Zealand",earthquake,8.7,1.9,0.191,8,reviewed,us,us
2022-05-10T03:43:22.435Z,-5.8751,128.29,347.36,5,mb,,27,3.647,0.64,us,us7000h88u,2022-05-18T04:20:49.040Z,"241 km S of Ambon, Indonesia",earthquake,8,5.1,0.042,178,reviewed,us,us
2022-05-10T03:40:07.326Z,-59.7259,-26.2517,35,5.1,mb,,38,7.803,0.94,us,us7000h88t,2022-05-18T04:12:59.040Z,"South Sandwich Islands region",earthquake,7.7,1.9,0.057,99,reviewed,us,us
2022-05-10T03:21:55.070Z,-3.8912,135.9433,10,4.5,mb,,124,3.812,0.36,us,us6000hlsw,2022-05-18T02:36:49.040Z,"76 km SE of Nabire, Indonesia",earthquake,9.9,1.9,0.191,8,reviewed,us,us
2022-05-10T02:50:04.957Z,-6.2903,142.5215,10,4.6,mb,,56,4.165,0.95,us,us6000hlss,2022-05-18T02:23:59.040Z,"68 km SW of Tari, Papua New Guinea",earthquake,7.4,1.7,0.157,12,reviewed,us,us
2022-05-10T02:49:06.444Z,-56.0736,-45.3653,10,5.2,mww,,53,5.394,0.65,us,us7000h88k,2022-05-18T04:31:13.040Z,"Scotia Sea",earthquake,8.6,1.8,0.066,22,reviewed,us,us
2022-05-10T02:18:31.171Z,-17.5676,-70.3591,95.72,4.6,mb,,79,0.799,0.98,us,us7000h88f,2022-05-18T03:32:06.874Z,"16 km WSW of Chipispaya, Peru",earthquake,6.4,5,0.048,131,reviewed,us,us
2022-05-10T02:09:39.891Z,-33.1195,-179.3883,10,4.7,mb,,83,4.045,0.46,us,us6000hlsr,2022-05-18T01:59:51.040Z,"south of the Kermadec Islands",earthquake,9,1.9,0.246,10,reviewed,us,us
2022-05-10T01:36:43.771Z,-33.161,-179.15,10,5.2,mb,,57,4.027,0.9,us,us7000h888,2022-05-18T03:19:10.040Z,"south of the Kermadec Islands",earthquake,8.6,1.7,0.077,55,reviewed,us,us
2022-05-10T00:02:30.068Z,-3.4494,146.0831,10,5.3,mww,,47,6.111,0.99,us,us7000h87v,2022-05-10T00:21:54.040Z,"198 km N of Madang, Papua New Guinea",earthquake,9.5,1.9,0.089,12,reviewed,us,us
2022-05-09T22:54:44.288Z,-3.4921,146.8175,10,4.7,mb,,73,5.379,0.89,us,us7000h8aa,2022-05-11T21:37:57.040Z,"168 km SSW of Lorengau, Papua New Guinea",earthquake,13.2,1.9,0.097,32,reviewed,us,us
2022-05-09T22:33:06.797Z,-3.3689,146.347,10,6.3,mww,,49,5.861,0.88,us,us7000h87i,2022-05-10T22:39:30.882Z,"179 km SW of Lorengau, Papua New Guinea",earthquake,8.8,1.9,0.093,11,reviewed,us,us
2022-05-09T22:24:56.459Z,-13.1642,-74.7261,80.51,4.5,mb,,119,2.374,1.12,us,us7000h87h,2022-05-18T05:16:08.040Z,"28 km ESE of Huachocolpa, Peru",earthquake,9.2,7.2,0.091,35,reviewed,us,us
2022-05-09T22:10:58.223Z,-22.3701,170.3882,10,4.7,mb,,102,2.731,1.04,us,us6000hlic,2022-05-18T05:13:53.040Z,"274 km ESE of Tadine, New Caledonia",earthquake,5.9,1.9,0.112,24,reviewed,us,us
2022-05-09T22:10:50.821Z,-8.3934,-81.3199,10,4.8,mb,,79,3.157,0.97,us,us7000h87g,2022-05-18T05:02:20.040Z,"221 km WSW of Pacasmayo, Peru",earthquake,8.1,1.9,0.07,63,reviewed,us,us
